shipper_id,total_days,worked_days,worked_days_ratio,mon_prob,tue_prob,wed_prob,thu_prob,fri_prob,sat_prob,sun_prob
18941,4.0,3.0,0.75,0.173913043478,0.0434782608696,0.608695652174,0.0,0.0869565217391,0.0,0.0869565217391
18989,150.0,30.0,0.2,0.287553648069,0.103004291845,0.105150214592,0.418454935622,0.0815450643777,0.0,0.00429184549356
19087,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19094,48.0,14.0,0.291666666667,0.236842105263,0.342105263158,0.157894736842,0.105263157895,0.105263157895,0.0263157894737,0.0263157894737
19240,231.0,20.0,0.0865800865801,0.1,0.157142857143,0.0285714285714,0.457142857143,0.128571428571,0.128571428571,0.0
19448,63.0,17.0,0.269841269841,0.195652173913,0.195652173913,0.195652173913,0.173913043478,0.239130434783,0.0,0.0
19686,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
19755,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19764,2.0,2.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
19840,212.0,37.0,0.174528301887,0.303278688525,0.16393442623,0.0983606557377,0.180327868852,0.254098360656,0.0,0.0
19879,16.0,9.0,0.5625,0.0689655172414,0.189655172414,0.0344827586207,0.362068965517,0.344827586207,0.0,0.0
19927,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19965,3.0,3.0,1.0,0.0,0.0,0.166666666667,0.666666666667,0.166666666667,0.0,0.0
19993,232.0,120.0,0.51724137931,0.217125382263,0.113149847095,0.217125382263,0.22629969419,0.195718654434,0.0305810397554,0.0
20029,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20077,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20115,8.0,2.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20179,93.0,6.0,0.0645161290323,0.0,0.0,0.9,0.1,0.0,0.0,0.0
20211,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20337,39.0,4.0,0.102564102564,0.0,0.0,0.6,0.2,0.2,0.0,0.0
20361,134.0,6.0,0.044776119403,0.0,0.125,0.25,0.375,0.25,0.0,0.0
20407,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20454,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20466,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20468,151.0,2.0,0.0132450331126,0.5,0.0,0.0,0.0,0.5,0.0,0.0
20526,15.0,12.0,0.8,0.258064516129,0.303225806452,0.135483870968,0.174193548387,0.129032258065,0.0,0.0
